label	text
f	"I got into computational linguistics through to the diciplines I got to know through my studies, german and computer science (I studied politics as well, but as there's no connection to that topic here, we can ommit that). Coming from a linguistic background and diving into computer science, I especially found interest in theoretical computer science, especially formal language theory. I'm interested in the connections between natural language, formal language and complexity theory. Trying to connect these interests by studying grammar formalisms from a complexity-standpoint is something I would look forward to (especially TAG). My interest in language is rather the syntactical aspect rather than semantics or pragmatics. 
I would like to gain some experience of analyzing language from a different point of view that 'just' the syntactical/ on a theoretical level I've gotten used to. 
I postponed the ""hands-on""-courses regarding language for a long time (also because I'm not very eager to do the programming-work most of the times) and tried to ignore the influence of statistical applications in the field, because I have always been convinced, that genuin knowledge about the structures will be more useful than an insight gained by loads of data. But probably I should start to acknowledge that the two are not mutually exclusive."
f	My main interest lies in historical linguistics and investigating language change. I am particularly interested in the Amazigh (Berber) languages and Arabic although I don't speak any Berber nor Arabic dialect. I am not familiar with computation but I found it a practical aid to what I am interested in. I'd love to learn more about computation and programming so that I can investigate the topic I am interested in with more ease.I also find machine learning an intriguing field but I need to improve my sense of statistics.
f	I chose to study computational linguistics, because this field of study includes both: technical and humanitarian subjects. Linguistics belongs to humanitarian field and computation-to technical field. At first I started my studies only in linguistics. It was amazing to acquire new knowledge about language structure and to learn how the language is build on its different levels. But when I decided to study language from a computational perspective it gave me even more insight into processes that occur within the language. The most exciting thing for me is the possibility of building models that can help machines process and generate the natural language. It seems to be of a great significance for the development of artificial intelligence that I consider to be very important goal for today's world.
f	What I find the most interesting about linguistics, is probably the fact that it is such a complex topic with so much to learn about. Even though we use it daily, there are such deep and interesting structures in natural language that we don't even think about or notice when speaking. Also the possibilities for research and applications in all the different fields of linguistics are pretty much endless. In a lot of those, computation can be a great tool, for example to help finding certain structures in a language. I find it especially fascinating, when such tools are used to create something really practical and helpful, for example a computer-based way to help children learn a foreign language efficiently. I also really like programming. Trying to pinpoint a concrete problem and then finding a solution for it, is just really fun to me.
f	I am currently enrolled in the second semester of the MA program in Computational Linguistics.  In my undergraduate studies, I completed a BA degree in Linguistics and Psychology.  Prior to this program, I didn’t have any programming experience, but I am trying my best to catch up and improve my skills.  I really enjoyed the introductory lecture to this course, and it will surely provide practical and in-demand skills for future internships and jobs.  It is still early in the program, but the topics I am most interested in so far are text analytics, machine learning, and NLP for ICALL.
m	"I like linguistics because it is something we are confronted with daily and inescapably.
It is also one of the few research areas where we can 'easily' measure data in.
Toying with statistics and related technics such as machine learning is a lot of fun!
Fundamentally it is very appealing to me find out more about language and the cognitive processes that are involved in it.
Even when we sometimes learn about pasttime linguistics theories that are boring and seemingly unrelated to nowadays research, I still enjoy most of the classes."
m	My interest in linguistic and computation started when I had to do a project in which we tried to analyse the comments under facebook posts. I realized that without computation this will lead to superficial results and I understood the advantages of computation.  Another reason is my interest in logic which brought me to programming because logic and computation are stronlgy connected for example in the Curry-Howard Isomorphism. One big influence was als the AI AlphaZero because it changed the understanding for chess and was very impressive for me. Understanding language and arguments was the main concern in my studies and the best way to analyse language, in my opinion, is through computational methods. We can work on big data and see how we speak and use language in a big picture. The last point why I'm interested in linguistic and computation is connected with my interest in Bayesianism in which beliefs are formalized via probability theory this has a direct connection to linguistic and computation.
m	"From a young age I've been a very motivated language learner, and have been enjoying all sorts of fun with words - solving anagrams, playing scrabble, writing rhymes...the list goes on. With that in mind, I figured sticking to something language-related would be an appropriate choice of study, and being more technically rather than artistically inclined I opted for linguistics over literature. I had some experience programming in high school as well, and thought it would be fun (and, of course, sensible in terms of career development) to keep going, so computational linguistics seemed like the perfect choice; as a friend put it, ""connecting the beautiful and the useful"".

A little over three semesters in and I am increasingly leaning towards the computational side of things. I am starting to develop a strong liking for mathematics which I had previously considered too mechanical, and now find it hugely exciting to attempt to find patterns and rules which can be combined to form complex systems. Language can definitely pass as a complex system, and whether we can reliably deconstruct it to its atomic components, whatever they may be, is as much of a philosophical as it is a practical question. The answer to this is most probably no, but the thought of never being able to decode it fully may make it all the more enticing. It is as if language were a hugely convoluted math problem, one that no-one will ever find the solution to, but where making sense of even the smallest unexplored sub-equation would feel like a seismic event to anyone involved."
m	Growing up in a multilingual family with parents who traveled for work, I always had an interest in foreign languages. My parents would regularly switch between four languages, so learning them was expected of me as well. But I didn't mind, because I saw them as a puzzle and enjoyed fitting all the pieces together. Finally figuring out the right word to use, and placing it into its proper position in a sentence was satisfying, but I also knew it was a practical life skill and would allow me to travel and communicate with many more people than my monolingual peers. Around the same time I was beginning to understand my appreciation for natural languages, I was also discovering how to use a computer. Being a digital native, I've always been curious about how to hook up my Nintendo64 and customize my MySpace profile with HTML and CSS. So when machine translation services like Google Translate and foreign language education apps like Duolingo appeared, I realized I could leverage my passion for natural languages and technology into a career.
f	My interests in language are mainly theoretical. While I like the practical side of computational linguistics, I didn't chose to study it to create useful applications, but rather to learn more about different ways to formalise linguistics structures and meaning. I'm rather interested in computation only as a tool to solve problems. I enjoy different topics in formal semantics and learning about their occasional connections to philosophical ideas. However, right now I'm trying to collect some more knowledge on distributional semantics and linear algebra and I would eventually like to find a project for my thesis in this topic.
f	"To learn more about linguistics and to combine it with ""something different"" was my cause to study computational linguistics.
Soon I discovered, that ISCL is more than just a combination. Its a whole new thing.
I always loved structuring and organizing things like lists and notebooks and to build up my own table of contents. 
Computational linguistics perfectly fits this passion."
f	I chose to study Computational Linguistics because it combines computer science and linguistics. I have not done much programming before, but since I started studying ISCL I find it very interesting. I enjoy solving tricky tasks and coming up with new solutions to programming problems. Moreover, I have always enjoyed learning new languages but I am also very interested in analysing them in a scientific way. As computational linguistics is at the intersection of these two areas, it provides many interesting research fields and I hope to be able to work on some of these in the future.
f	My interest in linguistics and computation is a story of a mistake made a long time ago and a story of hope to fix it. Right after school graduation, I have chosen general linguistics as a major for my bachelor's. But it turned out that my home university cannot provide a proper education, and more to it - I am not so interested in general linguistics as I thought. Only languages on their own are quite not applicable, so I decided on a master program in Computational linguistics. For me, it is a chance to fix a previous wrong choice since I am excited about programming.
f	As the result of interactions between linguistics and computation, I am interested in Chatbot. For example, how to improve the ability of reading comprehension, how to do a dialog state tracking, how to generate responses given certain emotions, how to reduce the needs of human aids in training. Text to speech generating is full of fun as well. I've played a bit with the Google Cloud Text-to-Speech application during this break. I am amazed by what they can do. However, so far, I need to learn a lot and a lot to figure out what I can do in the future and how to solve problems.
m	"Possibily, my favorite thing about linguistics is how intersectional it is. I feel that almost anything can be examined
through its lens, and this is probably due to the central role played by language in all our activities.
My interest in Computational Linguistics stems from a desire to get a better understanding of how humans process language.
How are we able to compute a meaning for a given sentence? And what about computing a sentence for a given meaning?
Although deceptively simple, the answer to these questions is the subject of an ongoing, centuries-long debate."
f	"Although the diversity of languages and the human ability to learn not only one but oftentimes two or more of them is already fascinating, I have two main reasons for studying linguistics and computation.
Firstly, I am utterly intrigued by the potential of machine translation. 
It removes language barriers between countries and cultures. 
Thus, it can contribute to international understanding.
Furthermore, it offers possibilities for people who have difficulties or no opportunities to learn a new language. 
For instance it might allow access to information and knowledge that would otherwise be inaccessible.
Secondly, computational linguistics provides technical opportunities that can be applied for language therapy. 
In the future a dialogue system might support language therapists in their work as patients can train at home.
These two reasons are my motivation for studying in the ISCL program."
m	I've been interested in computation for as long as I can remember. My parents bought a computer for our family when I was rather young, so I had a pretty unique experience as a kid in the area where I'm from, in the sense that I grew up with a computer and with the internet while some of my classmates didn't have a computer until much later. I basically lived in front of my computer in school and I was writing simple programs in Visual Basic and C# years before deciding to come to Tübingen, but I never really got deeper into the programming aspect before starting the ISCL program. Languages have also been a particular interest of mine, having grown up in an area where a couple languages are spoken and having moved around to a few different countries and learning the  local languages to some degree. Learning how the languages work seemed to make it easier to actually use the languages, which kind of lead to casual research on linguistics becoming a sort of hobby of mine.
m	Since I was born, I had a strong interest towards learning and using languages and was also fairly talented in it. This strong intrest towards learning new languages led to the interest towards understanding how languages work internally, how grammar is used in a natural way, how language itself and specific linguistic features evolve. I wanted to discover the origins of languages and how they can be classified. This again made me want to understand the methodology behind it - how can proto-languages be reconstructed, what tools are there to understand layers of natural language that are way beyond the surface? I wanted to find answers for those questions, and so after completing my Abitur, I enrolled myself in the General Linguistics Bachelor's degree. Within my Bachelor's programming, I kept getting in touch with programming and computational tools. After a while, I felt like not knowing how to program was very limiting in certain linguistic fields, so naturally, programming as a tool for doing linguistics got me interested. The second reason on why I got interested in programming was my elder brother, who studied computer science and always told me about very interesting stuff. With my rising interest in programming and my seemingly never descending interent in linguistics, it became clear to me that a combination of these two fields would be the right choice for me - so I already leaned into the field of computational linguistics when writing my B.A. thesis in computational historical linguistics; and then, as a natural consequence, I enrolled myself in the ISCL M.A. program.
m	I first became interested in Linguistics when I was in Gymnasium. There, I learned Latin and Greek and their grammar really fascinated me. That's why I went on to get a BA in General Linguistics at the University of Iceland. I am also interested in computation and that's why I chose to do my master's in Computational Linguistics. General Linguistics alone is impractical enough.
f	I am interested in linguistics, because I am interested in language. It's fascinating how language can be used to communicate, to influence people, to share and to divide. I want to know how language works and how to use this tool for everyone's advantage. Computational linguistic is a great way to reach this goal. The computer provides thousands of new ways to deal with language and use it to help people. Chat bots, spelling checker, machine translation, let alone automatic text to speech transition (especially useful for blind people)... It's fascinating what can be done to improve people's live just by combining linguistics and computers and I want to be a part of it.
f	"Ever since I was a little kid, I was interested in different features of language. When I learned to write I wondered why words are often written so differently from how they are spoken.
Whenever I learned a different language or met someone foreign, I was interested in special peculiarities of the language like idioms or slang. Later my dad introduced me to programming and I was fascinated by the fact
that you can tell your computer exactly what to do using a special language. When I had to decide on a field of study I remembered these two interests of mine, decided to put them together and study ISCL in Tübingen.
I am especially interested in intelligent language and voice systems, chat robots, language related research using computational methods, and machine learning for e.g. sentiment analysis or authorship attribution. I believe that these NLP technologies
can improve our lives in vastly different ways, be it data mining to analyse opinions on social media or improving online translation services like Google Translator to help people around the world communicate with each other."
f	"In the field of linguistics, I am interested in language acquisition and learning. 
How a baby acquires its mother tongue? 
How bilinguals process two languages at the same time?
How are learning procedures different between a native speaker and a foreign language learner?
Are there more efficient ways to improve language learning?
As for computation, I take it as a useful tool to help solve problems of many social issues.
Among many programming languages, python and R are the two that attract me.
The former is intuitive and straightforward and the latter is practical to analyse statistical data.
A combination of linguistics and programming had a beneficial effect on answering the questiona above.
All in all, computational linguists can contribute a lot and make our world better!"
f	As a student in ISCL in Tuebingen, I have to say that it’s a good place to study. In our country, we have different dialects in different areas. And I realized that I actually like to mimic those sounds from dialects. Or saying that, I am speaking one of the dialects but I didn’t realize it until my friends told me. I’d like to see how a language influences our culture and the way we live, or the other way around. Another reason how I found my interest in Linguistics is just from some kids. I like to play around with children and observe how they develop their language skills gradually, it’s amazing to watch a child learning to speak and think, isn’t it? I always try to solve problems in a logical way, that’s why computation field would fit in my plan. And it’s really much fun to learn computational skills and make it useful to our life!
f	"Although I've always been passionate about learning languages, it is only recently that I've realized that languages are not some intangible entities. Before entering the program at the University of Tuebingen, I was convinced that languages and language learning could not be understood, structured or explained. I attribute this primarily to the fact that langugage learning has been more of a fun and easy experience for me rather than one that requires a lot of hard work, memorization and structure and pattern finding. 

 Although I am more keen on the linguistics part of CL, I do believe that the computational part is nonetheless important, mainly because it gives us the chance to look at language from a perspective that was not deemed suitable in traditional linguistics. In addition, I think that computational methods make the study of linguistics more efficient, as they allow analyses of huge amounts of data that were inconceivable just a few decades ago."
m	﻿Communication is essential for learning, or respectivly teaching. I'm very interested in artifical intelligence, especially ones that are capable of learning. Now to teach a computer one would have to be able to communicate with it in a way. Destroying the blockade between language, text or speech, or any input in general, and the computer would make it possible to let a AI learn existing sources without further help. Imagine for example an interactive AI with the entire knowlegde of Wikipedia or even every published paper. Surely there's more to do than just tell a computer how to read, but it's still a start.
m	Hello there! My interests in Linguistics are Historical Linguistics, ancient languages. I like to read about words and their etymology. I also keen on Anthropological linguistics and reading about different cultures and ethnic groups. However, I am relatively new to Computational Linguistics so I am restricted in my interests and goals yet, having lack of sufficient knowledge in this area. Last sentence.
m	"My interest in computation springs from seeing how powerful computers can be as tools and that understanding and learning more about them would make possible much more productive work in regards to almost anything.
As a more theoretical person I can see myself working with data in the future, for which an understanding of computation and programming would be of great importance.
I have an interest in logic and as such enjoy the way of thinking that is necessary to work with a purely logical language, such as a programming language.
My interest in linguistics started with authors that were very creative in either creating or playing with languages such as Lewis Caroll, often playing with ambiguity and the way that language conveys meaning, or J.R.R. Tolkien, who built several fantasy languages for his literary universe. 
Furthermore, literary inspiration came from a love for poetry and songwriting.
I was raised bilingual and have always had an interest in learning new languages. As such I am interested in matters about how humans learn a language and why it is, that adults struggle so much more with some aspects of language learning than children do.
I especially enjoy learning about writing systems and like to learn the meaning for symbols, regardless of whether I speak any of the corresponding languages or not.
I am also very interested in ideas about the mapping of language to meaning and ideas about how language might shape the experiences we have, as well as questions about how culture and history might shape language and vice versa."
m	"During high school, I developed a high overall interest in learning foreign languages,
that included English, French, and some Latin (knowledge in the latter is long gone now). After I started my Bachelors' Degree in Medical Informatics, unfortunately, my focus had to be shifted and I didn't have the possibility of a minor degree.
I'm a Master student of Computer Science now, my aim is to combine the knowledge I gained in my studies with CL approaches, something I haven't done yet. I still have to figure out which courses are eligible for a minor in CL. Depending on the descision of my board of examiners, I may or may not continue with this course."
f	"Mathematics was my first passion and for many years in elementary and middle school, I was winning national and international competitions with ease. Then a time came when I had to put much more effort into being one of the best. As an extremely lazy person, I escaped from this by switching from a maths middle school to a language high school.

In my second year of high school, a friend asked me to join a school club for linguistics puzzles. Years before that I was on the verge of joining the same club but in the maths school, but I was discouraged by some students saying that it was not enough serious.

This second time I decided to give it a chance. Solving linguistic problems very soon became my favourite hobby - it was nothing more than maths with words. I started competing and did no worse than in maths. For four years of competing, I was twice in the extended national team and the last year, I even managed to qualify for the International Linguistic Olympiad.

One can see why computational linguistics seemed like the perfect university discipline for me, which resolved the first part of ""what and where to study?"". For the other part - my home country was excluded. Neither was there a bachelor degree in computational linguistics nor does the education system there has the best reputation. I was left with the English and German-speaking countries, but then from a financial perspective, Germany was the only one left.

Finally, although I have no logical explanation of how I chose Tuebingen, I knew that it would be it. This was the strangest but simultaneously the easiest decision in my life so far and one I would never regret."
f	I would like to do research on computer lexicography and grammar formalisms. My formal, linguistic interests are: Recreational Linguistic, with a focus on morphology, syntax and semantics, Language Philosophy with a basic knowledge of logic. Multiterm, with various aspects of terminology management, or online tools in linguist job that describe corporal structures interest me as well. As for computation I would like to gain some practical knowledge in NLP and machine learning. I would like to improve my programming skills as well. I also want to learn more about Grammar Checkers and Automatic Summarization.
f	"When I was studying Applied Linguistics as a bachelor degree, I enjoyed learning about languages and how they form in terms of morphology and syntax. 
I also enjoyed how learning about how languages hav a significant influence on society and human's behavior. 
However, I always thought how can I apply this knowledge practically and use it effectively in life. 
Computational Linguistics was my first choice since technology and data science is the core of our lives. 
Most importantly, I enjoy analyzing natural languages' data and trying to overcome the challenges related to it. 
Therefore, I thought NLP is the best field that gets me to use my linguistic knowledge in a technical and practical way."
f	"﻿Linguistics is a very interesting field for me because it shows how complex natural languages are. Afterall, human knowledge is expressed in language.
It is the way we found to rationalize, discuss and communicate every subject in our lives.
Understanting languages from a computational perspective is fascinating. 
The possibilities for using the computer to represent and manipulate linguistic structures are so many.
As we develop systems that facilitate human-computer interaction, we further our communication possibilities and create new applications.
Computers are an extremmely useful tool for humans and they can help us simplify many of our activites.
In addition, by creating applications that deal with natural languages we are also able to further understand the complexity of our own languages."
f	"Since my Bachelor studies, I have been passionate about Linguistics. During that time, I specialized in variety of languages, especially German dialects.
I am most fascinated by how different grammatical rules can be within one language and across regions. Now, my focus has shifted towards Natural Language Processing.
To me, it is very practical to be able to break language down into computable units. I am impressed, how many application areas there are for that topic. I have only been
programming for almost two years and have made a lot of progress since. It has become my passion to think about different approaches to modeling language in order to solve a given task.
What I love most about it is the fact that it is a highly analytical and yet creative task at the same time."
f	Linguistics and computation share a lot in common. They are both based on sets of rules and can thus be equally fascinating. It only makes sense to combine the two and transform the love for logic and rules into something useful to others. Since communicating through language is important to most anyone, computational linguistics can provide aid in numerous ways. The possibilities span from making someone's office job more efficient to literally giving a voice to those who cannot speak. These are reasons good enough to keep a computational linguist motivated to learn and create.
m	"I am a master student of Computer science. I am interested in this course as it makes a connection between machine learning and my specialization. I am also motivated to get deeper in NLP problem due to participate  in neural network. Definitely,  it helps me to resolve NLP. 
Besides its beneficial, I am so curious in this topic!"
f	"I'm interested in second language acquisition. Since I'm in the process of acquiring second and third languages which are English and German.
I'm also interested in lexical level of linguisics. Especially back-tracking the origin of words and fining their meanings. The Study of how the languages relate one to another is also interesting.
But I think I'm more interested in computation than linguistics.
I want to learn about deep learning and machine learning. I also want to learn how to extract informations from data and make use of them."
m	"Language has always fascinated me. Be it the word games or stupid, little creations.
The ever evolving tool for human communication is so incredibly complex that noone really understands it.
But we can try! That is what fascinates me. On one hand using language in everyday life and on the other hand trying to analyze it and make it machine digestible.
Today the interface between human and machine consists mostly of buttons and other touch based input methods.
For me a big motivation is the idea that one day communication between human and machine is mostly natural language based. That is what I want to help make reality."
f	"I am interested in computation, because I like learning new programming languages. That also includes finding out about their specific syntax and different features. Furthermore I enjoy learning about new algorithms and concepts and how they can be used to solve different problems. In addition, I like how learning more and more in the field of computation has helped me to further my problem-solving skills, as problem-solving is a big part of computation and programming.
In the field of linguistics I like learning about many different topics and building a deeper understanding of as many topics as possible.
What I especially enjoy about linguistics is that most theories and concepts can be related to real life spoken language.
The best part is, when linguistics and computation are connected and both fields become relevant to solve a problem."
m	I am a master student of English linguistics, and my main motivation in studying linguistics is to study languages from a more scientific perspective. As I started my study program in Tuebingen university, I got interested in computational and quantitative approaches to the study of language, therefore I am taking more computational and statistical courses. What I am particularly interested in is formal and statistical semantics, computational semantics, and natural language processing in general.
m	I'm mostly interested in the computational side of things. Linguistics is a field where I can apply the computational aspects of the program the most. Learning about the different methods in SNLP should be something that I can apply to other fields in computation, too. Language in general is also something that interests me. Learning many different languages also gave new perspectives here.
m	My interest in computation linguistics is the programming aspect of it.
m	"My interests in computational linguistics are first of all to write programs.
I like the fact, that everybody is using computational linguistics in their life, but only a few know what it is.
It is very interesting how we can decompose our human language, so that our machines can work with them.
For example we can write parse algorithms and use NLP-tools to analyse a large corpus, which can save us a lot of work, but also it is always
necessary to have a human who checks the work done by a program and debug it.
For me the most challenging thing is, how I can write a program that is fast and efficient and uses all resources that a machine can give it."
f	I am a aster student in Computational Linguistics. I am really interested in the computational aspects of linguistics since it relates verw well to my bachelor background in computer software engineering. It will allow me to delve more into the links ebtween these two realms of science.
f	"My interest in linguistics started in high school, when I realised I was enjoying studying the grammar of my native language (Italian) and of the foreign languages which were taught at my school (Spanish and English).
After I graduated, I decided to attend a BA in Linguistic and Intercultural Mediation, which included an intense study of two foreign languages (German and English) and their linguistics.
Once I finished my BA, I got interested in the computational aspect of linguistics because of a radio podcast I once heard while I was at home. 
I started reading books about computational linguistics and I got more and more interested in it, until I decided to apply for the ISCL MA here in Tuebingen.
I think it is incredibly important to support research in this field, since it is highly innovative and useful for society."
m	"There are two major aspects of linguistics I find the most interesting. 
The first aspect is how languages come into being and how the boundaries, in which parts of the world they are spoken, develop.
For example, how is it possible, that in some areas people in almost every village speak a different language (E.g. in New Ireland, Papua New Guinea)?
The other aspect is related to learning. In particular, the difference between learning a native and a foreign language. I think it is a great example for the importance of interaction with the environment
for learning. Studying how children learn languages also lead to implications about the development and structur of the human brain.
Modelling these developments and learning in general with computational models sounds very exciting to me and I would like to learn more about it."
f	Within linguistics, I am mostly interested in formal semantics, primarily in old-school logical theories and rule-based implementations of syntax and semantics. For my master thesis, I am currently looking for a suitable topic involving either quantifiers, intensionality or causality. However, I am not really into natural languages as such but am mostly intrigued by the theories behind the formalisms themselves and, more dominantly, problems in mathematics/logic (in particular proof theory). Since I regret not having studied computer science or mathematics instead of linguistics but enjoy programming (and need to make a living at some point in the future), I am currently striving to broaden my foundations in statistical methods and computational linguistics. My hope is to get a good enough idea of modern NLP techniques such as machine learning and neural networks to be able to work into more advanced topics by myself, and to improve my programming skills in a way that is relevant for demands in the industry.
m	I am interested in linguistics and computation because it can easily find a job. I am not saying that other major is hard, but anything related to computer is good to find one. Furthermore, if you were in the class where they taught you computer skills, you can naturally bring your laptop and read news or go shopping without any problems. You can do this in other classes as well, but doing it in programming class is more natural. BTW, machine learning is sooooo cool that my mom is proud of me :-P.
m	I first started studying computational linguistics as a minor, mainly for the programming part. Since then I discovered my interest for linguistics, especially how we actually learn a language. However, my main focus still lies at the programming part. I see a big future for machine learning and neural networks in the linguistic field. We'll see a whole bunch of new and interesting technologies emerges in the next couple years, which will make heavy use of stuff we currently learn. Not only the technical aspects, but also the moral ones are interesting for me. Because our speech is a highly personalized characteristic of ourselves, it's important that we know how our data is used throughout the internet and the applications we're using everyday. In order that we can still speak freely whats on our mind.
m	"I used to study linguistics in the US. When studying there, i found semantics especially implicature very interesting. And it interests me that humans sometimes have trouble drawing the implicaturs when talking with each other, what 
about machines? Therefore, i want to see how we can come up with some algorithms for machines to capture implicatures. And this would significantly improve the accuracy of many voice assitants, such as Siri. More than that, i really want 
to know lots of new-fashioned, state-of-the-art techniques used in the field of AI."
m	"I started programming in the year 2000 with Basic and C and started founding startups in 2004, where we developed a social network for >1M users. My first encounter with NLP was when I studied search queries, entered by users to find other users, groups or general things in blogs and so on. Many queries had the format ""user city age"" - ASL! - so that a rule based system and a ngram index was quite sufficient. After that I developed a web analytics platform for two years, where my personal interest was lying on a sophisticated google-search referer clustering. At the end, it was a simple naive bayes implemented in SQL. Then I realized I need a more formal background in math and went to university, but started another ""toy startup"" in the first semester, where I break apart email addresses for semantic evaluation. The engine improves itself by seeing firstname/lastname combinations from news articles and Wikipedia and learning ngram combinations (since name.firstname, namefirstname, firstname.name, firstamename and so on are possible). That also brought me to sentiment analysis on news articles about politics in public media. In times where social media dominates what is worth spreading, its hard to say what is fake news and how media influences public opinion. 

My major is computer science and theoretical computer science brought me to the formalism behind languages. I developed a statistical/machine learning/other buzzwords approach to learn Type 3 languages from examples, like automatically translating CSV to HTML by examples. Another private research project is finding a temporal hierarchy in languages by clustering dictionaries, where I'm still on the hunt for dictionary sources. 

As human language is full of knowledge, it's fun to discover these treasures. That's why I'm really looking forward to the course to learn new techniques."
f	From my point of view, linguistics is exciting because it studies a complex phenomenon, human language. Language is extremly versatile, highly dependent on context and shaped by culture. Not only does it consist of a set of grammar rules, but it also enables us to exchange complex thoughts, ideas, knowledge and feelings. It is therefore an important means of expressing how we understand and represent the world. To me, extracting information from written or spoken language is not only about identifying parts of the speech or capturing the main topic of the content, but rather about understanding how the human mind represents the world through linguistic space. It is exciting to me how perceptions are put into words and how information is transmitted to evoke similar representations in our minds and to exchange ideas. Regarding computation, I am particularly interested in models that learn from training data e.g. which words or phrases occur in similar contexts and might thus convey a similar meaning.
